age(ce),Mg25,Sr88
1802.37,6463.88,371.792
1802.23,5913.82,121.528
1802.09,5658.42,184.389
1801.95,5745.7,150.421
1801.82,5291.64,130.995
1801.67,5569,129.257
1801.54,5448.63,133.496
1801.39,5495.48,133.887
1801.26,5815.95,111.339
1801.11,5262.77,152.643
1800.98,5443.34,122.447
1800.83,5572.25,126.15
1800.7,5731.85,150.151
1800.55,5413.34,133.816
1800.42,5400.11,151.067
1800.28,5219.52,143.98
1800.14,5605.69,158.408
1800,5201.65,166.997
1799.85,5527.58,134.471
1799.72,5326.19,168.358
1799.57,5262.23,254.586
1799.44,5656.73,146.201
1799.29,5085.42,149.765
1799.16,4959.47,141.571
1799.01,4591.33,149.455
1798.88,5164.27,134.702
1798.74,5324.31,139.209
1798.6,5445.9,137.048
1798.46,5410.55,128.871
1798.32,5092.62,133.155
1798.18,5327.25,132.462
1798.05,4770.25,122.78
1797.9,5381.25,179.346
1797.77,5240.8,131.485
1797.62,4943.6,126.507
1797.49,5360.96,128.712
1797.34,4551.4,196.64
1797.21,5132.14,174.713
1797.06,5654.88,130.925
1796.93,4805.53,120.892
1796.78,5758.66,128.589
1796.65,5011.93,120.449
1796.51,5004.11,536.345
1796.37,5807.36,110.907
1796.23,6320.1,132.603
1796.09,5669.94,124.182
1795.95,6190.97,132.762
1795.81,5407.91,124.848
1795.67,5894.49,137.001
1795.54,5829.88,130.784
1795.39,7160.71,130.213
1795.26,6321.23,119.929
1795.11,6193.37,117.09
1794.98,6918.64,129.389
1794.83,7012.61,126.161
1794.7,7177.7,136.894
1794.55,7234.97,134.676
1794.42,6906.3,135.238
1794.27,8032.88,140.87
1794.14,7373.62,130.663
1794,7603.23,143.854
1793.86,6999.61,132.627
1793.72,6827.62,138.28
1793.58,6433.82,142.548
1793.44,6697.79,127.494
1793.31,7143.18,129.972
1793.16,7791.61,140.287
1793.03,7586.82,151.722
1792.88,7770.74,198.383
1792.75,7337,139.613
1792.6,7740.38,136.964
1792.47,7769.06,146.733
1792.32,7213.44,153.926
1792.18,7153.05,148.579
1792.04,7196.03,150.12
1791.9,7365.35,147.91
1791.77,6585.49,139.759
1791.62,5495.71,135.696
1791.49,6166.01,145.943
1791.34,5452.62,146.956
1791.21,6719.93,152.809
1791.06,5910.74,144.445
1790.9,5170.59,139.108
1790.18,5580.67,150.258
1789.52,5481.18,216.159
1788.8,5263.63,148.556
1788.14,5717.75,145.474
1787.42,5657.13,158.861
1786.77,5806.59,159.885
1786.05,5799.56,146.912
1785.39,5940.81,146.677
1784.67,5598.83,135.677
1784.01,6633.36,160.495
1783.29,5417.2,139.797
1782.63,6007.18,132.907
1781.91,6144.13,140.121
1781.25,6428.93,144.837
1780.53,6453.28,149.655
1779.88,7092.46,157.289
1779.16,5716.98,125.795
1778.5,5971.78,133.136
1777.78,6227.49,221.815
1777.12,6221.22,136.473
1776.4,5934.98,224.063
1775.74,5994.47,139.033
1775.02,7261.26,155.133
1774.36,6666.46,162.198
1773.64,6884.55,146.93
1772.99,6331.86,238.971
1772.27,7741.42,163.317
1771.61,8096.79,149.459
1770.89,8256.71,148.374
1770.23,7027.32,138.379
1769.51,7384.12,149.88
1768.85,8248.3,160.796
1768.13,7618.53,178.47
1767.47,7471.96,136.174
1766.75,7531.79,140.735
1766.1,8247.8,137.938
1765.38,7346.26,136.56
1764.72,6481.94,124.184
1764,7314.01,165.845
1763.34,7606.33,155.586
1762.62,7484.88,166.805
1761.96,6821.24,147.853
1761.24,7084.67,140.304
1760.58,7125.66,134.004
