age,ODL(Optical Density of Luminescence)
60663.5,1.02862
60711.1,1.02624
60758.7,1.02385
60806.3,1.02147
60853.9,1.01919
60901.4,1.01807
60949.0,1.01694
60996.6,1.01582
61044.2,1.0147
61091.7,1.01197
61139.3,1.00866
61186.9,1.00535
61234.5,1.00204
61282.1,0.997978
61329.6,0.992691
61377.2,0.987405
61424.8,0.982118
61472.4,0.976816
61519.9,0.971067
61567.5,0.965318
61615.1,0.959569
61662.7,0.953819
61710.3,0.947758
61757.8,0.941552
61805.4,0.935345
61853.0,0.929139
61900.6,0.923316
61948.1,0.918259
61995.7,0.913202
62043.3,0.908145
62090.9,0.903088
62138.5,0.898031
62186.0,0.892974
62233.6,0.887917
62281.2,0.88286
62328.8,0.878239
62376.4,0.873872
62423.9,0.869505
62471.5,0.865137
62519.1,0.86064
62566.7,0.85581
62614.2,0.850981
62661.8,0.846152
62709.4,0.841322
62757.0,0.837997
62804.6,0.834779
62852.1,0.83156
62899.7,0.828342
62947.3,0.825794
62994.9,0.823725
63042.4,0.821657
63090.0,0.819588
63137.6,0.817786
63185.2,0.816867
63232.8,0.815947
63280.3,0.815028
63327.9,0.814108
63375.5,0.813392
63423.1,0.812702
63470.6,0.812013
63518.2,0.811323
63565.8,0.811733
63613.4,0.813113
63661.0,0.814493
63708.5,0.815872
63756.1,0.817547
63803.7,0.820535
63851.3,0.823523
63898.9,0.826511
63946.4,0.829499
63994.0,0.831339
64041.6,0.832948
64089.2,0.834557
64136.7,0.836166
64184.3,0.83844
64231.9,0.841428
64279.5,0.844417
64327.1,0.847405
64374.6,0.850363
64422.2,0.853121
64469.8,0.855879
64517.4,0.858638
64564.9,0.861396
64612.5,0.863257
64660.1,0.864867
64707.7,0.866477
64755.3,0.868086
64802.8,0.869497
64850.4,0.870646
64898.0,0.871796
64945.6,0.872945
64993.2,0.874075
65040.7,0.874995
65088.3,0.875914
65135.9,0.876834
65183.5,0.877753
65231.0,0.878841
65278.6,0.87999
65326.2,0.881139
65373.8,0.882289
65421.4,0.883175
65468.9,0.883635
65516.5,0.884095
65564.1,0.884554
65611.7,0.885056
65659.3,0.886896
65706.8,0.888736
65754.4,0.890576
65802.0,0.892416
65849.6,0.893157
65897.2,0.893386
65944.7,0.893616
65992.3,0.893846
66039.9,0.894305
66087.5,0.895224
66135.0,0.896144
66182.6,0.897063
66230.2,0.897983
