age_calBP,Rainfall Index
1338,0.1752
1339,0.1527
1340,0.1302
1341,0.1357
1342,0.1412
1343,0.1467
1344,0.1523
1345,0.0999
1346,0.0475
1347,-0.0048
1348,0.0249
1349,0.0547
1350,0.0845
1351,0.1517
1352,0.2188
1353,0.2859
1354,0.2709
1355,0.2559
1356,0.2408
1357,0.2408
1358,0.2407
1359,0.2406
1360,0.2629
1361,0.2852
1362,0.3075
1363,0.2776
1364,0.2476
1365,0.2177
1366,0.2176
1367,0.2175
1368,0.2174
1369,0.2024
1370,0.0668
1371,0.0534
1372,0.0996
1373,0.1459
1374,0.2146
1375,0.231
1376,0.2474
1377,0.2638
1378,0.2802
1379,0.2966
1380,0.313
1381,0.307
1382,0.301
1383,0.295
1384,0.2796
1385,0.2643
1386,0.2489
1387,0.2336
1388,0.2724
1389,0.3112
1390,0.35
1391,0.3403
1392,0.3305
1393,0.3843
1394,0.438
1395,0.4918
1396,0.441
1397,0.3901
1398,0.3393
1399,0.3856
1400,0.4319
1401,0.4781
1402,0.502
1403,0.5259
1404,0.5498
1405,0.5736
1406,0.5452
1407,0.5168
1408,0.4884
1409,0.4898
1410,0.4913
1411,0.4928
1412,0.4643
1413,0.4359
1414,0.4075
1415,0.409
1416,0.4104
1417,0.4567
1418,0.503
1419,0.5493
1420,0.5358
1421,0.5223
1422,0.5088
1423,0.5477
1424,0.5865
1425,0.6253
1426,0.7836
1427,0.7551
1428,0.7267
1429,0.6983
1430,0.7147
1431,0.7311
1432,0.7475
1433,0.7042
1434,0.6608
1435,0.6175
1436,0.5965
1437,0.5756
1438,0.6218
1439,0.6681
1440,0.7144
1441,0.6934
1442,0.6725
1443,0.6516
1444,0.6381
1445,0.6246
1446,0.6111
1447,0.4669
1448,0.3228
1449,0.313
1450,0.3033
1451,0.245
1452,0.1867
1453,0.1284
1454,0.1433
1455,0.1582
1456,0.1731
1457,0.188
1458,0.2029
1459,0.1745
1460,0.1461
1461,0.1177
1462,0.1266
1463,0.1355
1464,0.1445
1465,0.1235
1466,0.1026
1467,0.0816
1468,0.1279
1469,0.1742
1470,0.198
1471,0.2219
1472,0.2159
1473,0.2099
1474,0.2039
1475,0.1904
1476,0.1769
1477,0.1634
1478,0.1873
1479,0.2112
1480,0.2126
1481,0.2365
1482,0.2603
1483,0.2618
1484,0.2633
1485,0.2647
1486,0.3633
1487,0.4618
1488,0.5604
1489,0.5506
1490,0.5409
1491,0.5125
1492,0.484
1493,0.4556
1494,0.4123
1495,0.3689
1496,0.4973
1497,0.6258
1498,0.7542
1499,0.5428
1500,0.3314
1501,0.3403
1502,0.3492
1503,0.3582
1504,0.2028
1505,0.0474
1506,-0.108
1507,0.0876
1508,0.2833
1509,0.4789
1510,0.4692
1511,0.4594
1512,0.5057
1513,0.552
1514,0.5982
1515,0.5271
1516,0.456
1517,0.385
1518,0.3848
1519,0.3847
1520,0.3957
1521,0.4068
1522,0.4179
1523,0.4849
1524,0.552
1525,0.593
1526,0.6339
1527,0.6748
1528,0.6635
1529,0.6521
1530,0.6408
1531,0.7191
1532,0.7974
1533,0.8756
1534,0.8643
1535,0.8081
1536,0.8341
1537,0.8601
1538,0.8861
1539,0.8673
1540,0.8485
1541,0.8297
1542,0.7847
1543,0.7398
1544,0.7957
1545,0.8515
1546,0.8402
1547,0.8288
1548,0.8175
1549,0.8734
1550,0.9293
1551,0.9851
1552,0.9215
1553,0.8579
1554,0.7942
1555,0.8053
1556,0.8164
1557,0.805
1558,0.7937
1559,0.7823
1560,0.8006
1561,0.8189
1562,0.8371
1563,0.833
1564,0.8289
1565,0.8247
1566,0.8206
1567,0.7044
1568,0.5883
1569,0.4721
1570,0.4978
1571,0.5236
1572,0.5493
1573,0.5228
1574,0.4962
1575,0.4697
1576,0.4544
1577,0.439
1578,0.4125
1579,0.3859
1580,0.3594
1581,0.3403
1582,0.3212
1583,0.3022
1584,0.3652
1585,0.4283
1586,0.4914
1587,0.2632
1588,0.2591
1589,0.2549
1590,0.2508
1591,0.2765
1592,0.3023
1593,0.328
1594,0.3388
1595,0.3496
1596,0.3604
1597,0.3115
1598,0.2625
1599,0.3256
1600,0.3887
1601,0.4518
1602,0.4327
1603,0.4136
1604,0.3945
1605,0.3605
1606,0.3265
1607,0.2925
1608,0.3108
1609,0.329
1610,0.3361
1611,0.3432
1612,0.3764
1613,0.4096
1614,0.4428
1615,0.3714
1616,0.3001
1617,0.2287
1618,0.2582
1619,0.2876
1620,0.291
1621,0.2943
1622,0.2976
1623,0.2786
1624,0.2595
1625,0.2404
1626,0.2288
1627,0.2172
1628,0.2056
1629,0.2014
1630,0.1973
1631,0.223
1632,0.2488
1633,0.2745
1634,0.3152
1635,0.3558
1636,0.3293
1637,0.3028
1638,0.2762
1639,0.2945
1640,0.3127
1641,0.331
1642,0.3941
1643,0.4572
1644,0.4456
1645,0.434
1646,0.4223
1647,0.4406
1648,0.4477
1649,0.4547
1650,0.473
1651,0.5137
1652,0.5544
1653,0.6846
1654,0.5573
1655,0.4299
1656,0.4258
1657,0.3992
1658,0.3727
1659,0.4581
1660,0.3308
1661,0.2034
1662,0.2217
1663,0.1951
1664,0.1574
1665,0.1196
1666,0.1827
1667,0.2346
1668,0.2865
1669,0.1927
1670,0.2222
1671,0.2516
1672,0.0907
1673,0.0753
1674,0.06
1675,0.2127
1676,0.2533
1677,0.294
1678,0.2675
1679,0.2857
1680,0.304
1681,0.1878
1682,0.1165
1683,0.0899
1684,0.0634
1685,-0.008
1686,0.0327
1687,0.0734
1688,0.002
1689,-0.0672
1690,-0.1365
1691,-0.1833
1692,-0.2301
1693,-0.277
1694,-0.3014
1695,-0.3706
1696,-0.4399
1697,-0.3075
1698,-0.3207
1699,-0.3339
1700,-0.2239
1701,-0.2484
1702,-0.0599
1703,0.1285
1704,0.0144
1705,-0.0772
1706,-0.1689
1707,-0.1709
1708,-0.1729
1709,-0.1525
1710,-0.0649
1711,0.0003
1712,0.0655
1713,0.0186
1714,0.1174
1715,0.2162
1716,0.1246
1717,0.1226
1718,0.1318
1719,0.1409
1720,0.2061
1721,0.1817
1722,0.1573
1723,0.1329
1724,0.1084
1725,-0.0504
1726,-0.0749
1727,-0.1553
1728,-0.2357
1729,-0.305
1730,-0.3182
1731,-0.3314
1732,-0.1989
1733,-0.1783
1734,-0.1578
1735,-0.1149
1736,-0.2736
1737,-0.253
1738,-0.2325
1739,-0.3016
1740,-0.3035
1741,-0.2605
1742,-0.2176
1743,-0.1746
1744,-0.2885
1745,-0.1336
